SEANCE,CODE,OUVERTURE,CLOTURE,PLUS_BAS,PLUS_HAUT,QUANTITE_NEGOCIEE,CAPITAUX
2018-04-01,"718001                   SITS                      2,4         2,35",,2.46,2.35,2.47,940821,22584.91
2018-04-01,"678001                   SOMOCER                  1,22          1,2",,1.23,1.22,1.26,78239159,97061.02
2018-04-01,"729001                   SOPAT                     ,74          ,74",,0.76,0.74,0.76,2344626,17357.76
2018-04-01,"653001                   SOTETEL                  2,89         2,82",,2.88,2.88,2.89,71523,20597.78
2018-04-01,"763001                   SOTIPAPIER                3,5          3,5",,3.49,3.4,3.5,628418,21544.44
2018-04-01,"666001                   SOTRAPIL                10,71        10,71",,10.9,10.75,10.9,195814,21168.46
2018-04-01,"658001                   SOTUMAG                  1,96         1,95",,1.95,1.92,1.96,5617,1099.42
2018-04-01,"656001                   SOTUVER                   4,8          4,8",,4.66,4.66,4.8,1354957,64302.76
2018-04-01,606001                   STAR                       98          100,9899.98,99.98,97.16,99.98,15311,14894.59
2018-04-01,"260095                   STB                      3,72         3,72",,3.7,3.7,3.7,5002,1850.0
2018-04-01,"744001                   TELNET HOLDING           5,94         5,94",,6.1,5.94,6.11,648141053,92537.68
2018-04-01,"727001                   TPR                      3,39          3,4",,3.29,3.29,3.39,1599166,53402.66
2018-04-01,"738001                   TUNIS RE                 8,34         8,25",,8.5,8.3,8.5,19902541,67746.32
2018-04-01,"120040                   TUNISAIR                  ,42          ,42",,0.43,0.41,0.43,1056523,4443.75
2018-04-01,"210090                   TUNISIE LEASING         14,47        14,47",,14.46,14.1,14.46,1775,2525.01
2018-04-01,"769001                   UADH                     2,46         2,46",,2.6,2.54,2.6,5947,1520.76
2018-04-01,"390010                   UIB                      22,1         22,1",22.122,22.0,22.0,22.1,8510431,87283.58
2018-04-01,772001                   UNIMED                      8            8,,7.98,7.76,7.99,161412,12812.25
2018-04-01,"720001                   WIFACK INT BANK          7,41         7,41",,7.19,7.19,7.2,7933,5701.72
2018-04-01,230035                   AIR LIQUDE TSIE            87           89,8788.0,88.0,87.0,88.0,444,3865.0
2018-04-01,"380070                   ALKIMIA                 46,35        46,35",0.0,44.96,0.0,0.0,0,
2018-04-01,"655001                   ASSURANCES SALIM         33,5         33,5",0.0,33.5,0.0,0.0,0,
2018-04-01,300045                   ASTREE                     34           34,3434.0,34.0,34.0,34.0,11,34.0
2018-04-01,"758001                   BEST LEASE               1,89         1,85",,1.89,1.89,1.89,2001,378.0
2018-04-01,"130055                   BTE (ADP)                16,8         16,8",,16.81,16.81,16.81,5002,8405.0
2018-04-01,"735001                   CIMENTS DE BIZERTE       2,49         2,49",0.0,2.49,0.0,0.0,0,
2018-04-01,"330090                   ELBENE INDUSTRIE         3,58         3,58",0.0,3.58,0.0,0.0,0,
2018-04-01,"320075                   ICF                        29        28,21",2929.0,29.0,29.0,29.0,362,1044.0
2018-04-01,"672004                   MODERN LEASING           3,86         3,86",0.0,3.86,0.0,0.0,0,
2018-04-01,"250065                   PLAC. TSIE-SICAF        40,71        40,71",0.0,40.71,0.0,0.0,0,
2018-04-01,"667001                   SIPHAT                   5,11         5,15",,5.11,5.11,5.11,11,5.11
2018-04-01,"140070                   SPDIT - SICAF             8,1          8,1",0.0,8.1,0.0,0.0,0,
2018-04-01,"664001                   STEQ                     7,62         7,62",0.0,7.62,0.0,0.0,0,
2018-04-01,"410020                   TUNINVEST-SICAR           6,5          6,5",0.0,6.5,0.0,0.0,0,
2018-04-01,"240050                   UBCI                    24,81        24,81",0.0,24.81,0.0,0.0,0,
2018-04-01,768001                   ASS MULTI ITTIHAD           8            8,0.0,7.64,0.0,0.0,0,
2018-04-01,"430030                   SITEX                    6,25         6,25",0.0,6.25,0.0,0.0,0,
2018-04-01,"617001                   STE TUN. DU SUCRE         7,1          7,1",0.0,7.1,0.0,0.0,0,
2018-05-01,"725001                   ADWYA                    5,55         5,55",,5.58,5.55,5.65,250222,13927.94
2018-05-01,"340005                   AMEN BANK                23,9         23,9",,23.98,23.98,23.98,2918,6978.18
2018-05-01,"730001                   ARTES                    6,26         6,26",,6.26,6.25,6.26,7377,4613.26
2018-05-01,"714001                   ASSAD                    9,25         9,09",,9.2,9.2,9.35,140013,12981.0
2018-05-01,"360035                   ATB                      4,17         4,17",,4.12,4.12,4.14,262096,108483.0
2018-05-01,"774001                   ATELIER MEUBLE INT       2,43         2,48",,2.43,2.42,2.43,349514,8481.07
2018-05-01,"470010                   ATL                       3,1          3,1",,3.12,3.1,3.12,19633,6085.34
2018-05-01,"160015                   ATTIJARI BANK           36,47        36,47",,36.86,36.4,36.86,4421421,61328.67
2018-05-01,"661001                   ATTIJARI LEASING        17,76        17,76",,17.8,17.78,17.8,5656,10056.68
2018-05-01,190060                   BH                         18           18,,17.97,17.8,18.01,175624,31553.48
2018-05-01,"180045                   BIAT                    118,5        118,5",,119.9,118.5,120.0,1955292,33965.49
2018-05-01,"310060                   BNA                     11,69        11,69",,11.6,11.6,11.65,19455,22654.25
2018-05-01,"220005                   BT                       7,82         7,82",,7.82,7.78,7.9,546133,42611.49
2018-05-01,"759001                   CELLCOM                  1,89         1,89",,1.84,1.86,1.86,1111,
2018-05-01,"420085                   CIL                     17,78        17,78",0.0,17.78,0.0,0.0,0,
2018-05-01,755001                   CITY CARS                  11           11,,11.49,11.25,11.49,491018,56162.24
2018-05-01,"767001                   DELICE HOLDING           16,9        16,98",,16.9,16.9,16.9,4448,7503.6
2018-05-01,"665001                   ELECTROSTAR               2,7         2,63",,2.62,2.62,2.7,148613,3898.37
2018-05-01,"741001                   ENNAKL AUTOMOBILES       12,5         12,5",,12.6,12.59,12.6,43112,5430.2
2018-05-01,"721001                   ESSOUKNA                 3,78         3,74",,3.77,3.67,3.78,169916,63870.87
2018-05-01,"757001                   EURO-CYCLES             28,48        28,49",,27.99,27.63,28.48,110451153,7888.98
2018-05-01,"713001                   GIF-FILTER               1,48         1,48",,1.46,1.44,1.48,38913101,56044.78
2018-05-01,"731013                   HANNIBAL LEASE           8,09         8,09",88.0,8.0,7.99,8.09,3457372,76248.88
2018-05-01,644001                   MAGASIN GENERAL            39           39,,38.5,38.5,38.5,242418,93324.0
2018-05-01,"100010                   MONOPRIX                 11,5         11,5",,11.84,11.5,11.84,346025,40177.15
2018-05-01,"762001                   MPBS                      3,1          3,1",,3.01,3.01,3.02,252511,7619.72
2018-05-01,"753001                   ONE TECH HOLDING        13,55         13,6",,13.41,13.22,13.8,10755631,43672.59
2018-05-01,"570001                   POULINA GP HOLDING      11,32        11,32",,11.32,11.15,11.32,1384032,156555.9
2018-05-01,"761001                   SAH                     15,82        15,79",,16.2,15.82,16.2,8473581,34994.95
2018-05-01,"110025                   SFBT                    19,62        19,78",,19.78,19.53,19.78,14655702,88905.57
2018-05-01,"659001                   SIAME                    2,35         2,29",,2.21,2.21,2.35,63916,14548.73
2018-05-01,"400005                   SIMPAR                   43,5         43,5",4443.0,43.0,43.0,44.38,3658,16047.84
2018-05-01,"718001                   SITS                     2,46         2,46",,2.6,2.57,2.6,900720,23176.49
2018-05-01,"678001                   SOMOCER                  1,26         1,23",,1.29,1.25,1.29,2550012193,23254.75
2018-05-01,"729001                   SOPAT                     ,76          ,76",,0.76,0.76,0.79,916322,7035.88
2018-05-01,"653001                   SOTETEL                  2,88         2,88",,2.88,2.82,2.88,192210,5495.92
2018-05-01,"763001                   SOTIPAPIER               3,49         3,49",,3.4,3.39,3.4,33513,1138.71
2018-05-01,"666001                   SOTRAPIL                 10,9         10,9",1110.99,10.99,10.9,11.0,614,670.32
2018-05-01,"658001                   SOTUMAG                  1,95         1,95",,1.9,1.9,1.96,2347239,44838.6
2018-05-01,"656001                   SOTUVER                   4,6         4,66",,4.6,4.47,4.6,883054,40279.44
2018-05-01,"606001                   STAR                    99,98        99,98",97.297,97.0,97.0,97.2,21315,20678.36
2018-05-01,"260095                   STB                       3,7          3,7",,3.62,3.61,3.7,475516,17217.26
2018-05-01,"744001                   TELNET HOLDING            6,1          6,1",,6.18,6.04,6.19,563761493,46003.69
2018-05-01,"727001                   TPR                       3,2         3,29",,3.29,3.11,3.29,1548978,49414.38
2018-05-01,"738001                   TUNIS RE                  8,5          8,5",,8.39,8.25,8.48,516917,42810.47
2018-05-01,"120040                   TUNISAIR                  ,43          ,43",,0.42,0.42,0.42,956413,4016.88
2018-05-01,"210090                   TUNISIE LEASING         14,46        14,46",,14.46,14.15,14.46,2745,3939.72
2018-05-01,"769001                   UADH                      2,6          2,6",,2.69,2.69,2.69,10604,2851.4
2018-05-01,390010                   UIB                        22           22,22.0922,22.0,21.89,22.09,221619,48750.02
2018-05-01,"772001                   UNIMED                   7,98         7,98",88.0,8.0,7.9,8.0,9678,7717.32
2018-05-01,"720001                   WIFACK INT BANK          7,19         7,19",,7.18,6.87,7.18,11853,8338.73
2018-05-01,230035                   AIR LIQUDE TSIE            88           88,,88.2,88.2,88.2,102,882.0
2018-05-01,"380070                   ALKIMIA                 44,96        44,96",,42.94,42.94,42.94,51,214.7
