SEANCE,CODE_INDICE,LIB_INDICE,INDICE_JOUR,INDICE_VEILLE,VARIATION_VEILLE,INDICE_PLUS_HAUT,INDICE_PLUS_BAS
2022-11-01,905009,DISTRIBUTION      ,4333.15,4325.75,0.171,4346.56,4312.63
2022-11-01,905013,BIENS CONSOMMATION,8768.31,8793.19,-0.283,8813.82,8703.7
2022-11-01,905015,AGROALIMENT BOISSO,11356.62,11392.96,-0.319,11404.65,11271.32
2022-11-01,905016,PROD MENAGER SOIN ,2408.04,2411.16,-0.129,2427.36,2376.6
2022-11-01,905017,INDUSTRIES        ,1300.39,1301.98,-0.122,1317.98,1300.39
2022-11-01,905018,BATIM MATE CONSTRU,559.83,561.03,-0.214,570.01,559.83
2022-11-01,905020,MATERIAUX DE BASE ,3501.19,3497.24,0.113,3535.11,3451.52
2022-11-01,905028,TUNINDEX20        ,3016.93,3008.97,0.265,3016.93,3000.38
2022-12-01,905001,TUNINDEX          ,7028.3,6992.63,0.51,7028.3,6960.3
2022-12-01,905002,STES FINANCIERES  ,4345.44,4306.86,0.896,4345.44,4253.05
2022-12-01,905003,BANQUES           ,3982.68,3936.75,1.167,3982.68,3882.35
2022-12-01,905004,ASSURANCES        ,12177.95,12384.09,-1.665,12468.03,12177.95
2022-12-01,905005,SERVICES FINANCIER,5762.32,5766.49,-0.072,5860.5,5762.32
2022-12-01,905008,SERVICES AUX CONSO,2764.88,2750.34,0.529,2764.88,2737.32
2022-12-01,905009,DISTRIBUTION      ,4356.05,4333.15,0.528,4356.05,4312.63
2022-12-01,905013,BIENS CONSOMMATION,8758.15,8768.31,-0.116,8813.82,8703.7
2022-12-01,905015,AGROALIMENT BOISSO,11342.33,11356.61,-0.126,11404.65,11271.32
2022-12-01,905016,PROD MENAGER SOIN ,2407.57,2408.03,-0.019,2427.36,2376.6
2022-12-01,905017,INDUSTRIES        ,1302.92,1300.39,0.195,1317.98,1300.39
2022-12-01,905018,BATIM MATE CONSTRU,563.72,559.83,0.695,570.01,559.83
2022-12-01,905020,MATERIAUX DE BASE ,3507.37,3501.18,0.177,3535.11,3451.52
2022-12-01,905028,TUNINDEX20        ,3037.9,3016.92,0.695,3037.9,3000.38
2022-01-13,905001,TUNINDEX          ,7075.52,7028.3,0.672,7075.52,6960.3
2022-01-13,905002,STES FINANCIERES  ,4357.45,4345.44,0.276,4357.45,4253.05
2022-01-13,905003,BANQUES           ,3990.22,3982.67,0.19,3990.22,3882.35
2022-01-13,905004,ASSURANCES        ,12296.88,12177.95,0.977,12468.03,12177.95
2022-01-13,905005,SERVICES FINANCIER,5807.37,5762.32,0.782,5860.5,5762.32
2022-01-13,905008,SERVICES AUX CONSO,2815.11,2764.87,1.817,2815.11,2737.32
2022-01-13,905009,DISTRIBUTION      ,4435.19,4356.04,1.817,4435.19,4312.63
2022-01-13,905013,BIENS CONSOMMATION,8886.2,8758.15,1.462,8886.2,8703.7
2022-01-13,905015,AGROALIMENT BOISSO,11485.2,11342.33,1.26,11485.2,11271.32
2022-01-13,905016,PROD MENAGER SOIN ,2459.69,2407.56,2.165,2459.69,2376.6
2022-01-13,905017,INDUSTRIES        ,1309.46,1302.92,0.502,1317.98,1300.39
2022-01-13,905018,BATIM MATE CONSTRU,564.44,563.72,0.128,570.01,559.83
2022-01-13,905020,MATERIAUX DE BASE ,3513.65,3507.36,0.179,3535.11,3451.52
2022-01-13,905028,TUNINDEX20        ,3060.66,3037.9,0.749,3060.66,3000.38
2022-01-14,905001,TUNINDEX          ,7099.65,7075.51,0.341,7099.65,6960.3
2022-01-14,905002,STES FINANCIERES  ,4362.83,4357.45,0.123,4362.83,4253.05
2022-01-14,905003,BANQUES           ,3995.0,3990.21,0.12,3995.0,3882.35
2022-01-14,905004,ASSURANCES        ,12320.0,12296.87,0.188,12468.03,12177.95
2022-01-14,905005,SERVICES FINANCIER,5813.02,5807.37,0.097,5860.5,5762.32
2022-01-14,905008,SERVICES AUX CONSO,2832.57,2815.11,0.62,2832.57,2737.32
2022-01-14,905009,DISTRIBUTION      ,4462.7,4435.19,0.62,4462.7,4312.63
2022-01-14,905013,BIENS CONSOMMATION,8945.21,8886.2,0.664,8945.21,8703.7
2022-01-14,905015,AGROALIMENT BOISSO,11548.42,11485.19,0.551,11548.42,11271.32
2022-01-14,905016,PROD MENAGER SOIN ,2484.43,2459.68,1.006,2484.43,2376.6
2022-01-14,905017,INDUSTRIES        ,1321.37,1309.46,0.91,1321.37,1300.39
2022-01-14,905018,BATIM MATE CONSTRU,566.76,564.43,0.413,570.01,559.83
2022-01-14,905020,MATERIAUX DE BASE ,3505.27,3513.64,-0.238,3535.11,3451.52
2022-01-14,905028,TUNINDEX20        ,3073.41,3060.65,0.417,3073.41,3000.38
2022-01-17,905001,TUNINDEX          ,7085.86,7099.64,-0.194,7099.65,6960.3
2022-01-17,905002,STES FINANCIERES  ,4364.02,4362.82,0.028,4364.02,4253.05
2022-01-17,905003,BANQUES           ,3995.55,3994.99,0.014,3995.55,3882.35
2022-01-17,905004,ASSURANCES        ,12333.62,12320.0,0.111,12468.03,12177.95
2022-01-17,905005,SERVICES FINANCIER,5820.87,5813.01,0.135,5860.5,5762.32
2022-01-17,905008,SERVICES AUX CONSO,2843.0,2832.57,0.368,2843.0,2737.32
2022-01-17,905009,DISTRIBUTION      ,4479.14,4462.7,0.368,4479.14,4312.63
2022-01-17,905013,BIENS CONSOMMATION,8901.47,8945.21,-0.489,8945.21,8703.7
2022-01-17,905015,AGROALIMENT BOISSO,11505.62,11548.41,-0.371,11548.42,11271.32
2022-01-17,905016,PROD MENAGER SOIN ,2461.95,2484.42,-0.904,2484.43,2376.6
2022-01-17,905017,INDUSTRIES        ,1312.4,1321.36,-0.678,1321.37,1300.39
2022-01-17,905018,BATIM MATE CONSTRU,564.48,566.75,-0.401,570.01,559.83
2022-01-17,905020,MATERIAUX DE BASE ,3493.79,3505.26,-0.327,3535.11,3451.52
2022-01-17,905028,TUNINDEX20        ,3066.17,3073.41,-0.236,3073.41,3000.38
2022-01-18,905001,TUNINDEX          ,7083.63,7085.85,-0.031,7099.65,6960.3
2022-01-18,905002,STES FINANCIERES  ,4360.86,4364.01,-0.072,4364.02,4253.05
2022-01-18,905003,BANQUES           ,3993.26,3995.55,-0.057,3995.55,3882.35
2022-01-18,905004,ASSURANCES        ,12170.69,12333.62,-1.321,12468.03,12170.69
2022-01-18,905005,SERVICES FINANCIER,5896.6,5820.86,1.301,5896.6,5762.32
2022-01-18,905008,SERVICES AUX CONSO,2838.7,2843.0,-0.151,2843.0,2737.32
2022-01-18,905009,DISTRIBUTION      ,4472.36,4479.14,-0.151,4479.14,4312.63
2022-01-18,905013,BIENS CONSOMMATION,8858.09,8901.47,-0.487,8945.21,8703.7
2022-01-18,905015,AGROALIMENT BOISSO,11466.11,11505.61,-0.343,11548.42,11271.32
2022-01-18,905016,PROD MENAGER SOIN ,2433.81,2461.94,-1.143,2484.43,2376.6
2022-01-18,905017,INDUSTRIES        ,1332.35,1312.4,1.52,1332.35,1300.39
2022-01-18,905018,BATIM MATE CONSTRU,582.57,564.47,3.207,582.57,559.83
2022-01-18,905020,MATERIAUX DE BASE ,3485.62,3493.79,-0.234,3535.11,3451.52
2022-01-18,905028,TUNINDEX20        ,3066.58,3066.17,0.013,3073.41,3000.38
2022-01-19,905001,TUNINDEX          ,7082.5,708741.0,-99.001,7099.65,6960.3
2022-01-19,905002,STES FINANCIERES  ,4348.65,436104.0,-99.003,4364.02,4253.05
2022-01-19,905003,BANQUES           ,3978.51,399344.0,-99.004,3995.55,3882.35
2022-01-19,905004,ASSURANCES        ,12253.41,1216805.0,-98.993,12468.03,12170.69
2022-01-19,905005,SERVICES FINANCIER,5892.25,589660.0,-99.001,5896.6,5762.32
2022-01-19,905008,SERVICES AUX CONSO,2837.32,283603.0,-99.0,2843.0,2737.32
2022-01-19,905009,DISTRIBUTION      ,4470.18,446815.0,-99.0,4479.14,4312.63
2022-01-19,905013,BIENS CONSOMMATION,8846.79,887490.0,-99.003,8945.21,8703.7
2022-01-19,905015,AGROALIMENT BOISSO,11447.57,1146611.0,-99.002,11548.42,11271.32
2022-01-19,905016,PROD MENAGER SOIN ,2430.04,245358.0,-99.01,2484.43,2376.6
2022-01-19,905017,INDUSTRIES        ,1347.28,133376.0,-98.99,1347.28,1300.39
2022-01-19,905018,BATIM MATE CONSTRU,591.49,58378.0,-98.987,591.49,559.83
2022-01-19,905020,MATERIAUX DE BASE ,3524.66,346568.0,-98.983,3535.11,3451.52
2022-01-19,905028,TUNINDEX20        ,3063.81,306881.0,-99.002,3073.41,3000.38
2022-01-20,905001,TUNINDEX          ,7070.6,7082.5,-0.168,7099.65,6960.3
2022-01-20,905002,STES FINANCIERES  ,4341.79,4348.65,-0.158,4364.02,4253.05
2022-01-20,905003,BANQUES           ,3969.93,3977.99,-0.203,3995.55,3882.35
2022-01-20,905004,ASSURANCES        ,12327.41,12253.41,0.604,12468.03,12170.69
2022-01-20,905005,SERVICES FINANCIER,5879.79,5892.25,-0.211,5896.6,5762.32
2022-01-20,905008,SERVICES AUX CONSO,2843.19,2837.32,0.207,2843.19,2737.32
2022-01-20,905009,DISTRIBUTION      ,4479.43,4470.18,0.207,4479.43,4312.63
2022-01-20,905013,BIENS CONSOMMATION,8849.35,8848.18,0.013,8945.21,8703.7
2022-01-20,905015,AGROALIMENT BOISSO,11464.22,11447.57,0.145,11548.42,11271.32
2022-01-20,905016,PROD MENAGER SOIN ,2426.46,2430.04,-0.147,2484.43,2376.6
2022-01-20,905017,INDUSTRIES        ,1334.11,1343.86,-0.726,1347.28,1300.39
2022-01-20,905018,BATIM MATE CONSTRU,583.67,591.49,-1.322,591.49,559.83
2022-01-20,905020,MATERIAUX DE BASE ,3528.14,3517.18,0.312,3535.11,3451.52
2022-01-20,905028,TUNINDEX20        ,3058.46,3063.55,-0.166,3073.41,3000.38
2022-01-21,905001,TUNINDEX          ,7072.22,7070.59,0.023,7099.65,6960.3
2022-01-21,905002,STES FINANCIERES  ,4357.33,4341.79,0.358,4364.02,4253.05
2022-01-21,905003,BANQUES           ,3987.31,3969.92,0.438,3995.55,3882.35
2022-01-21,905004,ASSURANCES        ,12253.41,12327.41,-0.6,12468.03,12170.69
2022-01-21,905005,SERVICES FINANCIER,5898.63,5879.78,0.321,5898.63,5762.32
2022-01-21,905008,SERVICES AUX CONSO,2839.82,2843.18,-0.118,2843.19,2737.32
2022-01-21,905009,DISTRIBUTION      ,4474.13,4479.42,-0.118,4479.43,4312.63
2022-01-21,905013,BIENS CONSOMMATION,8795.45,8849.35,-0.609,8945.21,8703.7
2022-01-21,905015,AGROALIMENT BOISSO,11404.54,11464.22,-0.521,11548.42,11271.32
2022-01-21,905016,PROD MENAGER SOIN ,2407.47,2426.46,-0.783,2484.43,2376.6
2022-01-21,905017,INDUSTRIES        ,1328.27,1334.1,-0.437,1347.28,1300.39
2022-01-21,905018,BATIM MATE CONSTRU,577.33,583.66,-1.085,591.49,559.83
2022-01-21,905020,MATERIAUX DE BASE ,3586.21,3528.14,1.646,3586.21,3451.52
2022-01-21,905028,TUNINDEX20        ,3055.79,3058.46,-0.087,3073.41,3000.38
2022-01-24,905001,TUNINDEX          ,7104.21,7072.21,0.452,7104.21,6960.3
2022-01-24,905002,STES FINANCIERES  ,4378.43,4357.32,0.484,4378.43,4253.05
