SEANCE,CODE_INDICE,LIB_INDICE,INDICE_JOUR,INDICE_VEILLE,VARIATION_VEILLE,INDICE_PLUS_HAUT,INDICE_PLUS_BAS
2024-01-15,905002,STES FINANCIERES  ,6387.0,6373.399,0.213,6495.221,6343.089
2024-01-15,905003,BANQUES           ,5961.123,5949.316,0.198,6053.854,5937.177
2024-01-15,905004,ASSURANCES        ,13231.552,13188.555,0.326,13901.307,12666.446
2024-01-15,905005,SERVICES FINANCIER,9158.389,9124.756,0.369,9255.542,8965.786
2024-01-15,905008,SERVICES AUX CONSO,2971.134,2974.609,-0.117,2995.579,2909.846
2024-01-15,905009,DISTRIBUTION      ,4681.008,4686.484,-0.117,4719.522,4584.45
2024-01-15,905013,BIENS CONSOMMATION,6607.83,6678.504,-1.058,7007.386,6607.83
2024-01-15,905015,AGROALIMENT BOISSO,8084.189,8197.831,-1.386,8712.78,8084.189
2024-01-15,905016,PROD MENAGER SOIN ,2143.543,2145.819,-0.106,2165.76,2070.894
2024-01-15,905017,INDUSTRIES        ,1581.509,1589.453,-0.5,1634.879,1581.509
2024-01-15,905018,BATIM MATE CONSTRU,687.039,692.952,-0.853,716.699,686.592
2024-01-15,905020,MATERIAUX DE BASE ,3831.201,3846.142,-0.388,3924.419,3770.824
2024-01-15,905028,TUNINDEX20        ,3692.314,3700.572,-0.223,3802.654,3691.745
2024-01-16,905001,TUNINDEX          ,8445.765,8446.163,-0.005,8691.005,8425.591
2024-01-16,905002,STES FINANCIERES  ,6402.09,6387.0,0.236,6495.221,6343.089
2024-01-16,905003,BANQUES           ,5974.097,5961.123,0.218,6053.854,5937.177
2024-01-16,905004,ASSURANCES        ,13253.462,13231.552,0.166,13901.307,12666.446
2024-01-16,905005,SERVICES FINANCIER,9225.615,9158.389,0.734,9255.542,8965.786
2024-01-16,905008,SERVICES AUX CONSO,2983.295,2971.134,0.409,2995.579,2909.846
2024-01-16,905009,DISTRIBUTION      ,4700.168,4681.008,0.409,4719.522,4584.45
2024-01-16,905013,BIENS CONSOMMATION,6562.223,6607.83,-0.69,7007.386,6562.223
2024-01-16,905015,AGROALIMENT BOISSO,8021.195,8084.189,-0.779,8712.78,8021.195
2024-01-16,905016,PROD MENAGER SOIN ,2133.352,2143.543,-0.475,2165.76,2070.894
2024-01-16,905017,INDUSTRIES        ,1577.099,1581.509,-0.279,1634.879,1577.099
2024-01-16,905018,BATIM MATE CONSTRU,686.461,687.039,-0.084,716.699,686.461
2024-01-16,905020,MATERIAUX DE BASE ,3809.426,3831.201,-0.568,3924.419,3770.824
2024-01-16,905028,TUNINDEX20        ,3690.449,3692.314,-0.051,3802.654,3690.449
2024-01-17,905001,TUNINDEX          ,8404.806,8445.765,-0.485,8691.005,8404.806
2024-01-17,905002,STES FINANCIERES  ,6383.126,6402.09,-0.296,6495.221,6343.089
2024-01-17,905003,BANQUES           ,5954.619,5974.097,-0.326,6053.854,5937.177
2024-01-17,905004,ASSURANCES        ,13332.066,13253.462,0.593,13901.307,12666.446
2024-01-17,905005,SERVICES FINANCIER,9138.388,9225.615,-0.945,9255.542,8965.786
2024-01-17,905008,SERVICES AUX CONSO,2967.821,2983.295,-0.519,2995.579,2909.846
2024-01-17,905009,DISTRIBUTION      ,4675.789,4700.168,-0.519,4719.522,4584.45
2024-01-17,905013,BIENS CONSOMMATION,6502.221,6562.223,-0.914,7007.386,6502.221
2024-01-17,905015,AGROALIMENT BOISSO,7949.89,8021.195,-0.889,8712.78,7949.89
2024-01-17,905016,PROD MENAGER SOIN ,2112.0,2133.352,-1.001,2165.76,2070.894
2024-01-17,905017,INDUSTRIES        ,1558.136,1577.099,-1.202,1634.879,1558.136
2024-01-17,905018,BATIM MATE CONSTRU,679.011,686.461,-1.085,716.699,679.011
2024-01-17,905020,MATERIAUX DE BASE ,3780.112,3809.426,-0.77,3924.419,3770.824
2024-01-17,905028,TUNINDEX20        ,3667.169,3690.449,-0.631,3802.654,3667.169
2024-01-18,905001,TUNINDEX          ,8419.193,8404.806,0.171,8691.005,8404.806
2024-01-18,905002,STES FINANCIERES  ,6368.299,6383.126,-0.232,6495.221,6343.089
2024-01-18,905003,BANQUES           ,5937.933,5954.619,-0.28,6053.854,5937.177
2024-01-18,905004,ASSURANCES        ,13307.614,13332.066,-0.183,13901.307,12666.446
2024-01-18,905005,SERVICES FINANCIER,9203.873,9138.388,0.717,9255.542,8965.786
2024-01-18,905008,SERVICES AUX CONSO,2948.928,2967.821,-0.637,2995.579,2909.846
2024-01-18,905009,DISTRIBUTION      ,4646.023,4675.789,-0.637,4719.522,4584.45
2024-01-18,905013,BIENS CONSOMMATION,6581.989,6502.221,1.227,7007.386,6502.221
2024-01-18,905015,AGROALIMENT BOISSO,8070.421,7949.89,1.516,8712.78,7949.89
2024-01-18,905016,PROD MENAGER SOIN ,2121.824,2112.0,0.465,2165.76,2070.894
2024-01-18,905017,INDUSTRIES        ,1573.698,1558.136,0.999,1634.879,1558.136
2024-01-18,905018,BATIM MATE CONSTRU,679.587,679.011,0.085,716.699,679.011
2024-01-18,905020,MATERIAUX DE BASE ,3814.24,3780.112,0.903,3924.419,3770.824
2024-01-18,905028,TUNINDEX20        ,3677.348,3667.169,0.278,3802.654,3667.169
2024-01-19,905001,TUNINDEX          ,8414.736,8419.193,-0.053,8691.005,8404.806
2024-01-19,905002,STES FINANCIERES  ,6378.811,6368.299,0.165,6495.221,6343.089
2024-01-19,905003,BANQUES           ,5951.651,5937.933,0.231,6053.854,5937.177
2024-01-19,905004,ASSURANCES        ,13187.656,13307.614,-0.901,13901.307,12666.446
2024-01-19,905005,SERVICES FINANCIER,9233.336,9203.873,0.32,9255.542,8965.786
2024-01-19,905008,SERVICES AUX CONSO,2955.501,2948.928,0.223,2995.579,2909.846
2024-01-19,905009,DISTRIBUTION      ,4656.379,4646.023,0.223,4719.522,4584.45
2024-01-19,905013,BIENS CONSOMMATION,6535.406,6581.989,-0.708,7007.386,6502.221
2024-01-19,905015,AGROALIMENT BOISSO,8017.751,8070.421,-0.653,8712.78,7949.89
2024-01-19,905016,PROD MENAGER SOIN ,2103.175,2121.824,-0.879,2165.76,2070.894
2024-01-19,905017,INDUSTRIES        ,1570.047,1573.698,-0.232,1634.879,1558.136
2024-01-19,905018,BATIM MATE CONSTRU,681.072,679.587,0.218,716.699,679.011
2024-01-19,905020,MATERIAUX DE BASE ,3831.178,3814.24,0.444,3924.419,3770.824
2024-01-19,905028,TUNINDEX20        ,3674.732,3677.348,-0.071,3802.654,3667.169
2024-01-22,905001,TUNINDEX          ,8436.679,8414.736,0.261,8691.005,8404.806
2024-01-22,905002,STES FINANCIERES  ,6389.746,6378.811,0.171,6495.221,6343.089
2024-01-22,905003,BANQUES           ,5954.557,5951.651,0.049,6053.854,5937.177
2024-01-22,905004,ASSURANCES        ,13453.753,13187.656,2.018,13901.307,12666.446
2024-01-22,905005,SERVICES FINANCIER,9243.532,9233.336,0.11,9255.542,8965.786
2024-01-22,905008,SERVICES AUX CONSO,2954.428,2955.501,-0.036,2995.579,2909.846
2024-01-22,905009,DISTRIBUTION      ,4654.688,4656.379,-0.036,4719.522,4584.45
2024-01-22,905013,BIENS CONSOMMATION,6623.304,6535.406,1.345,7007.386,6502.221
2024-01-22,905015,AGROALIMENT BOISSO,8160.746,8017.751,1.783,8712.78,7949.89
2024-01-22,905016,PROD MENAGER SOIN ,2104.728,2103.175,0.074,2165.76,2070.894
2024-01-22,905017,INDUSTRIES        ,1556.906,1570.047,-0.837,1634.879,1556.906
2024-01-22,905018,BATIM MATE CONSTRU,671.976,681.072,-1.336,716.699,671.976
2024-01-22,905020,MATERIAUX DE BASE ,3777.776,3831.178,-1.394,3924.419,3770.824
2024-01-22,905028,TUNINDEX20        ,3687.83,3674.732,0.356,3802.654,3667.169
2024-01-23,905001,TUNINDEX          ,8419.922,8436.679,-0.199,8691.005,8404.806
2024-01-23,905002,STES FINANCIERES  ,6385.985,6389.746,-0.059,6495.221,6343.089
2024-01-23,905003,BANQUES           ,5955.562,5954.557,0.017,6053.854,5937.177
2024-01-23,905004,ASSURANCES        ,13330.131,13453.753,-0.919,13901.307,12666.446
2024-01-23,905005,SERVICES FINANCIER,9206.739,9243.532,-0.398,9255.542,8965.786
2024-01-23,905008,SERVICES AUX CONSO,2951.057,2954.428,-0.114,2995.579,2909.846
2024-01-23,905009,DISTRIBUTION      ,4649.378,4654.688,-0.114,4719.522,4584.45
2024-01-23,905013,BIENS CONSOMMATION,6588.173,6623.304,-0.53,7007.386,6502.221
2024-01-23,905015,AGROALIMENT BOISSO,8120.743,8160.746,-0.49,8712.78,7949.89
2024-01-23,905016,PROD MENAGER SOIN ,2090.879,2104.728,-0.658,2165.76,2070.894
2024-01-23,905017,INDUSTRIES        ,1555.008,1556.906,-0.122,1634.879,1555.008
2024-01-23,905018,BATIM MATE CONSTRU,669.586,671.976,-0.356,716.699,669.586
2024-01-23,905020,MATERIAUX DE BASE ,3715.755,3777.776,-1.642,3924.419,3715.755
2024-01-23,905028,TUNINDEX20        ,3684.466,3687.83,-0.091,3802.654,3667.169
2024-01-24,905001,TUNINDEX          ,8430.407,8419.922,0.125,8691.005,8404.806
2024-01-24,905002,STES FINANCIERES  ,6397.914,6385.985,0.187,6495.221,6343.089
2024-01-24,905003,BANQUES           ,5961.65,5955.562,0.102,6053.854,5937.177
2024-01-24,905004,ASSURANCES        ,13480.903,13330.131,1.131,13901.307,12666.446
2024-01-24,905005,SERVICES FINANCIER,9262.301,9206.739,0.604,9262.301,8965.786
2024-01-24,905008,SERVICES AUX CONSO,2931.158,2951.057,-0.674,2995.579,2909.846
2024-01-24,905009,DISTRIBUTION      ,4618.026,4649.378,-0.674,4719.522,4584.45
2024-01-24,905013,BIENS CONSOMMATION,6578.271,6588.173,-0.15,7007.386,6502.221
2024-01-24,905015,AGROALIMENT BOISSO,8101.915,8120.743,-0.232,8712.78,7949.89
2024-01-24,905016,PROD MENAGER SOIN ,2092.802,2090.879,0.092,2165.76,2070.894
2024-01-24,905017,INDUSTRIES        ,1568.881,1555.008,0.892,1634.879,1555.008
2024-01-24,905018,BATIM MATE CONSTRU,668.73,669.586,-0.128,716.699,668.73
2024-01-24,905020,MATERIAUX DE BASE ,3725.481,3715.755,0.262,3924.419,3715.755
2024-01-24,905028,TUNINDEX20        ,3687.351,3684.466,0.078,3802.654,3667.169
2024-01-25,905001,TUNINDEX          ,8431.419,8430.407,0.012,8691.005,8404.806
2024-01-25,905002,STES FINANCIERES  ,6397.571,6397.914,-0.005,6495.221,6343.089
2024-01-25,905003,BANQUES           ,5963.668,5961.65,0.034,6053.854,5937.177
2024-01-25,905004,ASSURANCES        ,13421.753,13480.903,-0.439,13901.307,12666.446
2024-01-25,905005,SERVICES FINANCIER,9244.011,9262.301,-0.197,9262.301,8965.786
2024-01-25,905008,SERVICES AUX CONSO,2946.163,2931.158,0.512,2995.579,2909.846
2024-01-25,905009,DISTRIBUTION      ,4641.666,4618.026,0.512,4719.522,4584.45
2024-01-25,905013,BIENS CONSOMMATION,6568.295,6578.271,-0.152,7007.386,6502.221
