SEANCE;CODE_INDICE;LIB_INDICE;INDICE_JOUR    ;INDICE_VEILLE;VARIATION_VEILLE;INDICE_PLUS_HAUT;INDICE_PLUS_BAS
11/01/2022   ;905013    ;BIENS CONSOMMATION;8768.310            ;8793.190            ;-0.283              ;8813.820            ;8703.700            
11/01/2022   ;905015    ;AGROALIMENT BOISSO;11356.620           ;11392.960           ;-0.319              ;11404.650           ;11271.320           
11/01/2022   ;905016    ;PROD MENAGER SOIN ;2408.040            ;2411.160            ;-0.129              ;2427.360            ;2376.600            
11/01/2022   ;905017    ;INDUSTRIES        ;1300.390            ;1301.980            ;-0.122              ;1317.980            ;1300.390            
11/01/2022   ;905018    ;BATIM MATE CONSTRU;559.830             ;561.030             ;-0.214              ;570.010             ;559.830             
11/01/2022   ;905020    ;MATERIAUX DE BASE ;3501.190            ;3497.240            ;0.113               ;3535.110            ;3451.520            
11/01/2022   ;905028    ;TUNINDEX20        ;3016.930            ;3008.970            ;0.265               ;3016.930            ;3000.380            
12/01/2022   ;905001    ;TUNINDEX          ;7028.300            ;6992.630            ;0.510               ;7028.300            ;6960.300            
12/01/2022   ;905002    ;STES FINANCIERES  ;4345.440            ;4306.860            ;0.896               ;4345.440            ;4253.050            
12/01/2022   ;905003    ;BANQUES           ;3982.680            ;3936.750            ;1.167               ;3982.680            ;3882.350            
12/01/2022   ;905004    ;ASSURANCES        ;12177.950           ;12384.090           ;-1.665              ;12468.030           ;12177.950           
12/01/2022   ;905005    ;SERVICES FINANCIER;5762.320            ;5766.490            ;-0.072              ;5860.500            ;5762.320            
12/01/2022   ;905008    ;SERVICES AUX CONSO;2764.880            ;2750.340            ;0.529               ;2764.880            ;2737.320            
12/01/2022   ;905009    ;DISTRIBUTION      ;4356.050            ;4333.150            ;0.528               ;4356.050            ;4312.630            
12/01/2022   ;905013    ;BIENS CONSOMMATION;8758.150            ;8768.310            ;-0.116              ;8813.820            ;8703.700            
12/01/2022   ;905015    ;AGROALIMENT BOISSO;11342.330           ;11356.610           ;-0.126              ;11404.650           ;11271.320           
12/01/2022   ;905016    ;PROD MENAGER SOIN ;2407.570            ;2408.030            ;-0.019              ;2427.360            ;2376.600            
12/01/2022   ;905017    ;INDUSTRIES        ;1302.920            ;1300.390            ;0.195               ;1317.980            ;1300.390            
12/01/2022   ;905018    ;BATIM MATE CONSTRU;563.720             ;559.830             ;0.695               ;570.010             ;559.830             
12/01/2022   ;905020    ;MATERIAUX DE BASE ;3507.370            ;3501.180            ;0.177               ;3535.110            ;3451.520            
12/01/2022   ;905028    ;TUNINDEX20        ;3037.900            ;3016.920            ;0.695               ;3037.900            ;3000.380            
13/01/2022   ;905001    ;TUNINDEX          ;7075.520            ;7028.300            ;0.672               ;7075.520            ;6960.300            
13/01/2022   ;905002    ;STES FINANCIERES  ;4357.450            ;4345.440            ;0.276               ;4357.450            ;4253.050            
13/01/2022   ;905003    ;BANQUES           ;3990.220            ;3982.670            ;0.190               ;3990.220            ;3882.350            
13/01/2022   ;905004    ;ASSURANCES        ;12296.880           ;12177.950           ;0.977               ;12468.030           ;12177.950           
13/01/2022   ;905005    ;SERVICES FINANCIER;5807.370            ;5762.320            ;0.782               ;5860.500            ;5762.320            
13/01/2022   ;905008    ;SERVICES AUX CONSO;2815.110            ;2764.870            ;1.817               ;2815.110            ;2737.320            
13/01/2022   ;905009    ;DISTRIBUTION      ;4435.190            ;4356.040            ;1.817               ;4435.190            ;4312.630            
